814,1.123,3.252,2.002,1.385,1.736,1.708
816,1.119,3.24,1.988,1.379,1.724,1.702
818,1.114,3.23,1.977,1.373,1.717,1.699
820,1.108,3.215,1.97,1.369,1.712,1.691
822,1.105,3.193,1.959,1.358,1.704,1.683
824,1.101,3.18,1.952,1.352,1.697,1.673
826,1.094,3.166,1.942,1.349,1.691,1.669
828,1.094,3.161,1.933,1.346,1.687,1.661
830,1.089,3.129,1.922,1.338,1.673,1.65
832,1.081,3.109,1.915,1.331,1.668,1.642
834,1.078,3.106,1.91,1.329,1.668,1.637
836,1.071,3.084,1.902,1.324,1.657,1.632
838,1.063,3.065,1.883,1.315,1.643,1.621
840,1.052,3.039,1.862,1.3,1.625,1.606
842,1.049,3.028,1.856,1.295,1.619,1.6
844,1.045,3.01,1.846,1.29,1.612,1.591
846,1.041,2.995,1.837,1.285,1.607,1.585
848,1.035,2.981,1.83,1.279,1.599,1.574
850,1.03,2.963,1.822,1.274,1.589,1.565
852,1.029,2.953,1.816,1.272,1.584,1.561
854,1.025,2.935,1.807,1.264,1.577,1.555
856,1.019,2.92,1.796,1.258,1.57,1.548
858,1.016,2.911,1.792,1.255,1.566,1.543
860,1.013,2.898,1.785,1.249,1.559,1.534
862,1.008,2.881,1.775,1.243,1.551,1.526
864,1.004,2.868,1.767,1.238,1.546,1.521
866,1.001,2.853,1.76,1.234,1.541,1.515
868,0.9957,2.846,1.754,1.23,1.535,1.509
870,0.9923,2.837,1.746,1.226,1.528,1.501
872,0.9895,2.822,1.737,1.221,1.521,1.494
874,0.9849,2.809,1.727,1.216,1.515,1.487
876,0.9813,2.797,1.721,1.212,1.509,1.481
878,0.9779,2.782,1.712,1.207,1.504,1.475
880,0.9732,2.771,1.704,1.202,1.498,1.469
882,0.9697,2.763,1.698,1.198,1.492,1.463
884,0.9661,2.749,1.692,1.193,1.486,1.456
886,0.9627,2.737,1.684,1.188,1.481,1.449
888,0.9591,2.725,1.676,1.183,1.474,1.443
890,0.9553,2.71,1.667,1.179,1.467,1.435
892,0.9507,2.698,1.661,1.174,1.461,1.428
894,0.9463,2.682,1.654,1.168,1.454,1.421
896,0.9422,2.668,1.645,1.163,1.448,1.415
898,0.9372,2.652,1.635,1.158,1.44,1.406
900,0.933,2.638,1.627,1.152,1.433,1.399
902,0.9288,2.626,1.619,1.147,1.427,1.393
904,0.9258,2.614,1.613,1.143,1.422,1.388
906,0.923,2.604,1.606,1.139,1.416,1.382
908,0.9196,2.594,1.599,1.136,1.411,1.377
910,0.9173,2.585,1.595,1.133,1.405,1.373
912,0.915,2.576,1.591,1.129,1.402,1.369
914,0.9135,2.569,1.587,1.127,1.399,1.367
916,0.9119,2.561,1.582,1.124,1.395,1.363
918,0.9098,2.554,1.578,1.122,1.391,1.36
920,0.9085,2.546,1.575,1.12,1.389,1.356
922,0.9066,2.539,1.57,1.118,1.385,1.353
924,0.905,2.534,1.566,1.116,1.381,1.35
926,0.9027,2.527,1.561,1.113,1.377,1.348
928,0.9003,2.518,1.556,1.11,1.372,1.343
930,0.8974,2.511,1.551,1.106,1.368,1.34
932,0.8945,2.497,1.545,1.103,1.364,1.336
934,0.8914,2.488,1.538,1.1,1.359,1.331
936,0.8886,2.481,1.534,1.097,1.355,1.326
938,0.8866,2.473,1.529,1.093,1.352,1.321
940,0.8841,2.463,1.523,1.09,1.347,1.317
942,0.881,2.453,1.518,1.086,1.343,1.313
944,0.8781,2.444,1.511,1.082,1.339,1.307
